species,size,fragrance,height_cm,petal_length,petal_width,sepal_length,sepal_width
rose,medium,mild,48.55,2.4275,1.942,33.985,14.565
rose,medium,mild,48.55,2.4275,1.942,33.985,14.565
shoeblack plant,medium,mild,147.07,7.3535,5.8828,102.949,44.121
shoeblack plant,medium,none,102.93,5.1465,4.1172,72.051,30.879
hibiscus,large,none,184,9.2,7.36,128.8,55.2
shoeblack plant,large,mild,83.07,4.1535,3.3228,58.149,24.921
hibiscus,large,none,120.88,6.044,4.8352,84.616,36.264
rose,small,mild,99.24,4.962,3.9696,69.468,29.772
rose,small,strong,96.75,4.8375,3.87,67.725,29.025
hibiscus,large,none,160.88,8.044,6.4352,112.616,48.264
shoeblack plant,large,mild,60.43,3.0215,2.4172,42.301,18.129
rose,small,strong,37,1.85,1.48,25.9,11.1
rose,small,strong,68.56,3.428,2.7424,47.992,20.568
hibiscus,large,none,147.55,7.3775,5.902,103.285,44.265
hibiscus,large,none,123.01,6.1505,4.9204,86.107,36.903
rose,small,mild,46.21,2.3105,1.8484,32.347,13.863
shoeblack plant,medium,none,101.99,5.0995,4.0796,71.393,30.597
rose,medium,strong,33.1,1.655,1.324,23.17,9.93
shoeblack plant,large,none,78.69,3.9345,3.1476,55.083,23.607
shoeblack plant,large,mild,129.65,6.4825,5.186,90.755,38.895
shoeblack plant,medium,mild,126.98,6.349,5.0792,88.886,38.094
shoeblack plant,large,none,76.07,3.8035,3.0428,53.249,22.821
shoeblack plant,large,none,70.41,3.5205,2.8164,49.287,21.123
hibiscus,large,none,187.12,9.356,7.4848,130.984,56.136
shoeblack plant,medium,mild,106,5.3,4.24,74.2,31.8
hibiscus,large,none,174.18,8.709,6.9672,121.926,52.254
rose,medium,strong,98.1,4.905,3.924,68.67,29.43
rose,small,mild,81.9,4.095,3.276,57.33,24.57
hibiscus,large,none,184.91,9.2455,7.3964,129.437,55.473
shoeblack plant,large,mild,70.25,3.5125,2.81,49.175,21.075
rose,medium,strong,61.93,3.0965,2.4772,43.351,18.579
rose,small,mild,69.35,3.4675,2.774,48.545,20.805
rose,small,strong,53.06,2.653,2.1224,37.142,15.918
hibiscus,large,none,112.25,5.6125,4.49,78.575,33.675
hibiscus,large,none,198.12,9.906,7.9248,138.684,59.436
hibiscus,large,none,150.78,7.539,6.0312,105.546,45.234
shoeblack plant,large,none,55.17,2.7585,2.2068,38.619,16.551
shoeblack plant,medium,mild,105.54,5.277,4.2216,73.878,31.662
rose,small,mild,76.96,3.848,3.0784,53.872,23.088
hibiscus,large,none,145.4,7.27,5.816,101.78,43.62
shoeblack plant,medium,mild,115.88,5.794,4.6352,81.116,34.764
shoeblack plant,medium,mild,67.23,3.3615,2.6892,47.061,20.169
rose,small,mild,91.64,4.582,3.6656,64.148,27.492
hibiscus,large,none,143.24,7.162,5.7296,100.268,42.972
rose,medium,strong,46.73,2.3365,1.8692,32.711,14.019
hibiscus,large,none,158,7.9,6.32,110.6,47.4
hibiscus,large,none,152.97,7.6485,6.1188,107.079,45.891
rose,medium,mild,93.06,4.653,3.7224,65.142,27.918
hibiscus,large,none,137.55,6.8775,5.502,96.285,41.265
hibiscus,large,none,135.6,6.78,5.424,94.92,40.68
shoeblack plant,medium,mild,88.74,4.437,3.5496,62.118,26.622
shoeblack plant,large,none,112.54,5.627,4.5016,78.778,33.762
hibiscus,large,none,125.07,6.2535,5.0028,87.549,37.521
hibiscus,large,none,189.69,9.4845,7.5876,132.783,56.907
hibiscus,large,none,141.32,7.066,5.6528,98.924,42.396
rose,medium,mild,62.8,3.14,2.512,43.96,18.84
shoeblack plant,medium,none,79.09,3.9545,3.1636,55.363,23.727
hibiscus,large,none,139.48,6.974,5.5792,97.636,41.844
shoeblack plant,medium,mild,88.01,4.4005,3.5204,61.607,26.403
rose,medium,mild,92.55,4.6275,3.702,64.785,27.765
rose,small,mild,33.08,1.654,1.3232,23.156,9.924
hibiscus,large,none,175.14,8.757,7.0056,122.598,52.542
shoeblack plant,medium,mild,132.47,6.6235,5.2988,92.729,39.741
rose,medium,strong,75.22,3.761,3.0088,52.654,22.566
hibiscus,large,none,135.55,6.7775,5.422,94.885,40.665
shoeblack plant,medium,none,135.58,6.779,5.4232,94.906,40.674
hibiscus,large,none,127.68,6.384,5.1072,89.376,38.304
hibiscus,large,none,193.84,9.692,7.7536,135.688,58.152
hibiscus,large,none,143.79,7.1895,5.7516,100.653,43.137
hibiscus,large,none,122.56,6.128,4.9024,85.792,36.768
rose,small,mild,41.81,2.0905,1.6724,29.267,12.543
shoeblack plant,medium,none,127.56,6.378,5.1024,89.292,38.268
rose,small,strong,84.14,4.207,3.3656,58.898,25.242
shoeblack plant,medium,none,113.29,5.6645,4.5316,79.303,33.987
hibiscus,large,none,159.29,7.9645,6.3716,111.503,47.787
shoeblack plant,medium,mild,109.36,5.468,4.3744,76.552,32.808
rose,medium,strong,70.59,3.5295,2.8236,49.413,21.177
hibiscus,large,none,174.29,8.7145,6.9716,122.003,52.287
hibiscus,large,none,197.77,9.8885,7.9108,138.439,59.331
rose,small,strong,45.62,2.281,1.8248,31.934,13.686
rose,medium,strong,64.57,3.2285,2.5828,45.199,19.371
hibiscus,large,none,126.47,6.3235,5.0588,88.529,37.941
shoeblack plant,medium,mild,107.51,5.3755,4.3004,75.257,32.253
shoeblack plant,medium,none,95.73,4.7865,3.8292,67.011,28.719
rose,small,mild,77.68,3.884,3.1072,54.376,23.304
hibiscus,large,none,129.83,6.4915,5.1932,90.881,38.949
hibiscus,large,none,105.08,5.254,4.2032,73.556,31.524
hibiscus,large,none,121.53,6.0765,4.8612,85.071,36.459
rose,small,mild,56.55,2.8275,2.262,39.585,16.965
shoeblack plant,medium,mild,81.58,4.079,3.2632,57.106,24.474
shoeblack plant,large,none,100.16,5.008,4.0064,70.112,30.048
rose,small,strong,42.57,2.1285,1.7028,29.799,12.771
rose,small,mild,43,2.15,1.72,30.1,12.9
rose,small,mild,64.63,3.2315,2.5852,45.241,19.389
shoeblack plant,medium,none,80.72,4.036,3.2288,56.504,24.216
